this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL4ID = 421,Abroad Cluster 2 : ATNTA / BOSTN / CHCGO / CNGNY / CSDPWS / DALAS / DENVR / DTROT / HSTON / LNGLS / MIAMI / MNPLS / PALTO / SEATL / SFRAN / SNDGO,À l'étranger groupement 2 : ATNTA / BOSTN / CHCGO / CNGNY / CSDPWS / DALAS / DENVR / DTROT / HSTON / LNGLS / MIAMI / MNPLS / PALTO / SEATL / SFRAN / SNDGO,NA,NA,NA
LEVEL4ID = 422,Abroad Cluster 3: APLCO / CNCUN / CRMEN / CSDPMX / GJARA / LCABO / MNTRY / MXICO / MZTLN / PVRTA,À l'étranger groupement 3 : APLCO / CNCUN / CRMEN / CSDPMX / GJARA / LCABO / MNTRY / MXICO / MZTLN / PVRTA,NA,NA,NA
LEVEL4ID = 423,Canada: OGM - ADM Office / OSD - Southeast Asia and Oceania,Canada: OGM - Bureau du SMA / OSD - Asie Sud-Est et Océanie,LEVEL3ID = 340,OGM - ADM Office / OSD - Southeast Asia,OGM - Bureau du SMA / OSD - Asie Sud-Est
LEVEL4ID = 424,Abroad Cluster 1: AKLND / ASEAN / BSBGN / CNBRA / JKRTA / KLMPR / SPORE / SYDNY / WLGTN,À l'étranger groupement 1 : AKLND / ASEAN / BSBGN / CNBRA / JKRTA / KLMPR / SPORE / SYDNY / WLGTN,LEVEL3ID = 340,OGM - ADM Office / OSD - Southeast Asia,OGM - Bureau du SMA / OSD - Asie Sud-Est
LEVEL4ID = 425,Abroad Cluster 2: BNGKK / CSDPMN / HANOI / HOCHI / MANIL / PNPEN / VNTNE / YNGON,À l'étranger groupement 2 : BNGKK / CSDPMN / HANOI / HOCHI / MANIL / PNPEN / VNTNE / YNGON,LEVEL3ID = 340,OGM - ADM Office / OSD - Southeast Asia,OGM - Bureau du SMA / OSD - Asie Sud-Est
LEVEL4ID = 426,Canada: OAD - South Asia,Canada : OAD - Asie du Sud,LEVEL3ID = 342,OAD - South Asia,OAD - Asie du Sud
LEVEL4ID = 427,Abroad Cluster 1: AMDBD / BAGLR / CHADG / CHENI / CSDPDH / DELHI / HDRBD / KLKTA / MMBAI,À l'étranger groupement 1 : AMDBD / BAGLR / CHADG / CHENI / CSDPDH / DELHI / HDRBD / KLKTA / MMBAI,LEVEL3ID = 342,OAD - South Asia,OAD - Asie du Sud
LEVEL4ID = 428,Abroad Cluster 2: CLMBO / DHAKA / ISBAD,À l'étranger groupement 2 : CLMBO / DHAKA / ISBAD,LEVEL3ID = 342,OAD - South Asia,OAD - Asie du Sud
LEVEL4ID = 429,Canada: OPD - Trade & Diplomacy North Asia,Canada : OPD - Asie du nord,LEVEL3ID = 341,OPD - Trade & Diplomacy North Asia,OPD - Asie du nord
LEVEL4ID = 430,Abroad Cluster 1: BEJING,À l'étranger groupement 1 : BEJING,LEVEL3ID = 341,OPD - Trade & Diplomacy North Asia,OPD - Asie du nord
LEVEL4ID = 431,Abroad Cluster 2: CHONQ / GANZU / HKONG / SHNGI,À l'étranger groupement 2 : CHONQ / GANZU / HKONG / SHNGI,LEVEL3ID = 341,OPD - Trade & Diplomacy North Asia,OPD - Asie du nord
